# Notes:
# Nm: total number of spectroscopic members
# N200: number of members within r200
# s200, s200err: velocity dispersion at r200 and uncertainty, in km/s
# m200, m200err: mass within r200 and uncertainty, in 1e14 Msun
# r200, r200err: radius enclosing 200 times the critical mass density, in Mpc
# Sdelta, Sdelta_{lo,hi}: DS test significance. Values without uncertainties are upper limits
# class: Relaxed or Disturbed
# ref: main spectroscopic references
# ned: main NED spectroscopic sources
name              |    z   |   Nm | N200 | s200 | s200err | m200 | m200err | r200 | r200err | Sdelta | Sdelta_lo | Sdelta_hi | class |   ref | ned
Abell 2142        | 0.0903 | 1052 |  731 | 1086 |      31 | 13.9 |     1.2 | 2.24 |    0.06 |   0.01 |      0.00 |      0.00 |     D |     3 | 31  
Abell 2163        | 0.2004 |  309 |  290 | 1279 |      53 | 21.5 |     2.7 | 2.51 |    0.10 |   0.03 |      0.01 |      0.02 |     D |    -- | 25  
Abell 2204        | 0.1507 |  100 |   15 |  782 |     278 |  5.1 |     5.4 | 1.58 |    0.56 |   0.35 |      0.12 |      0.33 |     R |    -- | 32  
Abell 2219        | 0.2255 |  364 |  241 | 1189 |      65 | 17.0 |     2.8 | 2.30 |    0.13 |   0.01 |       --  |       --  |     D |   3,4 | 4  
Abell 222         | 0.2132 |   76 |   76 |  881 |      79 |  7.0 |     1.9 | 1.72 |    0.15 |   0.30 |      0.04 |      0.04 |     R |    -- | 11,33  
Abell 223         | 0.2076 |   64 |   64 |  910 |      80 |  7.8 |     2.1 | 1.78 |    0.16 |   0.05 |      0.02 |      0.02 |     D |    -- | 11,33  
Abell 2259        | 0.1602 |  158 |   77 |  901 |      70 |  7.7 |     1.8 | 1.80 |    0.14 |   0.04 |      0.01 |      0.12 |     D |   3,4 | --  
Abell 2261        | 0.2257 |  206 |   76 |  882 |      86 |  7.0 |     2.0 | 1.71 |    0.17 |   0.03 |      0.02 |      0.05 |     D |   3,4 | --  
Abell 2319        | 0.0538 |   83 |   83 | 1101 |      99 | 14.7 |     4.0 | 2.31 |    0.21 |   0.52 |      0.16 |      0.07 |     R |    -- | 30  
Abell 2390        | 0.2287 |  136 |   92 | 1120 |     113 | 14.3 |     4.3 | 2.17 |    0.22 |   0.23 |      0.10 |      0.01 |     R |     2 | --  
Abell 2409        | 0.1454 |  101 |   46 |  826 |      94 |  6.0 |     2.0 | 1.67 |    0.19 |   0.16 |      0.03 |      0.09 |     R |   3,5 | --  
Abell 2440        | 0.0906 |   88 |   88 |  766 |      61 |  4.9 |     1.2 | 1.59 |    0.13 |   0.13 |      0.02 |      0.03 |     R |     3 | 26  
Abell 2495        | 0.0790 |   98 |   46 |  631 |      55 |  2.8 |     0.7 | 1.32 |    0.12 |   0.23 |      0.01 |      0.06 |     R |   3,5 | --  
Abell 2537        | 0.2964 |  175 |   65 |  909 |      85 |  7.4 |     2.1 | 1.70 |    0.16 |   0.05 |      0.01 |      0.04 |     D |     3 | 6  
Abell 2597        | 0.0829 |   39 |   17 |  682 |     131 |  3.5 |     2.0 | 1.42 |    0.27 |   0.37 |      0.09 |      0.15 |     R |    -- | 9,13  
Abell 267         | 0.2291 |  219 |  156 | 1006 |      74 | 10.3 |     2.3 | 1.95 |    0.14 |   0.01 |       --  |       --  |     D |   3,4 | --  
Abell 2670        | 0.0763 |  241 |  196 |  919 |      46 |  8.5 |     1.3 | 1.91 |    0.10 |   0.01 |       --  |       --  |     D |     3 | 21  
Abell 2703        | 0.1140 |   75 |   13 |  657 |      53 |  3.1 |     0.8 | 1.35 |    0.11 |   0.17 |      0.05 |      0.18 |     R |     3 | --  
Abell 383         | 0.1885 |  182 |  134 |  918 |      53 |  8.1 |     1.4 | 1.81 |    0.11 |   0.01 |       --  |       --  |     D |    -- | 18  
Abell 399         | 0.0718 |  250 |  229 | 1046 |      47 | 12.5 |     1.7 | 2.18 |    0.10 |   0.01 |       --  |       --  |     D |     5 | 20  
Abell 401         | 0.0735 |  104 |   83 |  933 |      81 |  8.9 |     2.3 | 1.94 |    0.17 |   0.32 |      0.05 |      0.19 |     R |    -- | 20  
Abell 520         | 0.2007 |  153 |  127 | 1045 |      73 | 11.8 |     2.5 | 2.05 |    0.14 |   0.27 |      0.11 |      0.04 |     R |    -- | 19  
Abell 521         | 0.2469 |   95 |   95 | 1002 |      95 | 10.1 |     2.9 | 1.92 |    0.18 |   0.06 |      0.02 |      0.02 |     D |    -- | 16  
Abell 545         | 0.1577 |   80 |   80 | 1038 |      89 | 11.8 |     3.0 | 2.08 |    0.18 |   0.07 |      0.00 |      0.02 |     R |    -- | 2  
Abell 553         | 0.0670 |   54 |   44 |  665 |      75 |  3.3 |     1.1 | 1.39 |    0.16 |   0.01 |      0.00 |      0.03 |     D |     5 | --  
Abell 586         | 0.1704 |   33 |   21 |  803 |     104 |  5.4 |     2.1 | 1.60 |    0.21 |   0.28 |      0.07 |      0.12 |     R |     3 | --  
Abell 644         | 0.0696 |   31 |   31 |  625 |      96 |  2.7 |     1.2 | 1.31 |    0.20 |   0.67 |      0.05 |      0.11 |     R |    -- | 24  
Abell 646         | 0.1266 |  259 |   69 |  707 |      66 |  3.8 |     1.1 | 1.44 |    0.13 |   0.07 |      0.04 |      0.22 |     D |   3,4 | --  
Abell 655         | 0.1271 |  306 |  109 |  938 |      57 |  8.8 |     1.6 | 1.91 |    0.12 |   0.03 |      0.02 |      0.01 |     D |   3,4 | --  
Abell 697         | 0.2821 |  215 |  106 | 1161 |      89 | 15.4 |     3.6 | 2.19 |    0.17 |   0.44 |      0.02 |      0.05 |     R |   3,4 | --  
Abell 754         | 0.0546 |  305 |  300 |  959 |      43 |  9.8 |     1.3 | 2.01 |    0.09 |   0.01 |      0.00 |      0.00 |     D |    -- | 8  
Abell 780         | 0.0547 |   33 |   33 |  822 |     113 |  6.2 |     2.5 | 1.73 |    0.24 |   0.01 |      0.00 |      0.01 |     D |    -- | 21  
Abell 795         | 0.1385 |  166 |  117 |  768 |      59 |  4.9 |     1.1 | 1.56 |    0.12 |   0.06 |      0.02 |      0.07 |     D | 3,4,5 | --  
Abell 85          | 0.0555 |  284 |  248 |  967 |      55 | 10.0 |     1.7 | 2.03 |    0.12 |   0.01 |      0.00 |      0.00 |     D |     3 | 14  
Abell 851         | 0.4038 |   53 |   47 |  999 |     138 |  9.3 |     3.8 | 1.77 |    0.24 |   0.01 |      0.01 |      0.03 |     D |    -- | 3,12  
